Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
UrbanDecay,https://www.sephora.com/product/elements-eyeshadow-palette-P436261?icid2=products%20grid:p436261:product,Elements Eyeshadow Palette,$52.00 ,Limited Edition
amika,https://www.sephora.com/product/smooth-criminal-P436072?icid2=products%20grid:p436072:product,Smooth Criminal,$120.00 ,Limited Edition
Too Faced,https://www.sephora.com/product/just-peachy-velvet-matte-eye-shadow-palette-peaches-cream-collection-P422449?icid2=products%20grid:p422449:product,Just Peachy Velvet Matte Eyeshadow Palette ¨C Peaches and Cream Collection,$45.00 ,Exclusive
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/two-lil-mattemoiselles-chill-owt-edition-P39753485?icid2=products%20grid:p39753485:product,Two Lil Mattemoiselles - Chill Owt Edition,$19.00 ,Limited Edition
dr. Jart+,https://www.sephora.com/product/cicapair-friends-skin-soothers-P436667?icid2=products%20grid:p436667:product,Cicapair? Friends Skin Soothers,$36.00 ,Limited Edition
Fresh,https://www.sephora.com/product/nonstop-radiance-P436355?icid2=products%20grid:p436355:product,Nonstop Radiance,$60.00 ,Limited Edition
Velour Lashes,https://www.sephora.com/product/the-effortless-kit-P429278?icid2=products%20grid:p429278:product,Effortless Kit - No Trim No Measure Natural Lash Kit,$29.00 ,Exclusive
stila,https://www.sephora.com/product/glitter-on-go-liquid-eye-shadow-set-P427384?icid2=products%20grid:p427384:product,Glitter On The Go Liquid Eye Shadow Set,$25.00 ,Exclusive
Anastasia Beverly Hills,https://www.sephora.com/product/metallic-mini-liquid-lipstick-set-P436413?icid2=products%20grid:p436413:product,Metallic Mini Liquid Lipstick Set,$25.00 ,Limited Edition
Winky Lux,https://www.sephora.com/product/sparkle-kitty-lip-gloss-balm-kit-P436018?icid2=products%20grid:p436018:product,Sparkle Kitty Lip Gloss + Balm Kit,$16.00 ,
stila,https://www.sephora.com/product/big-shots-redux-eye-set-P435964?icid2=products%20grid:p435964:product,Big Shots Redux Eye Set,$25.00 ,Limited Edition
SUNDAY RILEY,https://www.sephora.com/product/flash-fix-kit-P436904?icid2=products%20grid:p436904:product,Flash Fix Kit,$28.00 ,Exclusive
SEPHORA COLLECTION,https://www.sephora.com/product/this-is-coco-nuts-set-P436459?icid2=products%20grid:p436459:product,This is Coco-nuts! Set,$20.00 ,Limited Edition
Living proof,https://www.sephora.com/product/all-i-want-it-dry-shampoo-P436068?icid2=products%20grid:p436068:product,All I Want Is Dry Shampoo,$23.00 ,Limited Edition
OLEHENRIKSEN,https://www.sephora.com/product/balance-it-all-essentials-set-P416954?icid2=products%20grid:p416954:product,Balance It All? Essentials Set,$34.00 ,Limited edition
Viseart,https://www.sephora.com/product/grande-pro-1-P436732?icid2=products%20grid:p436732:product,Grande Pro Volume I Eyeshadow Palette,$150.00 ,
Caudalie,https://www.sephora.com/product/hand-cream-trio-P437261?icid2=products%20grid:p437261:product,Hand Cream Trio,$18.00 ,Limited Edition
Natasha Denona,https://www.sephora.com/product/safari-all-matte-eyeshadow-palette-P436474?icid2=products%20grid:p436474:product,Safari All Matte Eyeshadow Palette,$129.00 ,Limited Edition
Natasha Denona,https://www.sephora.com/product/sunset-eyeshadow-palette-P419117?icid2=products%20grid:p419117:product,Sunset Eyeshadow Palette,$129.00 ,
Kiehl's Since 1851,https://www.sephora.com/product/collection-for-cause-P436375?icid2=products%20grid:p436375:product,Collection For A Cause,$50.00 ,Limited Edition
Kate Somerville,https://www.sephora.com/product/radically-radiant-P435210?icid2=products%20grid:p435210:product,Radically Radiant,$95.00 ,Limited Edition
OLEHENRIKSEN,https://www.sephora.com/product/sauna-glow-tm-P436379?icid2=products%20grid:p436379:product,Sauna Glow? - Warming-Cooling Scrub & Mask Set,$39.00 ,Limited Edition
Beautyblender,https://www.sephora.com/product/two-bb-clean-P406235?icid2=products%20grid:p406235:product,Two.BB.Clean,$45.00 ,Online Only
Verb,https://www.sephora.com/product/ghost-kit-weightless-protect-P436064?icid2=products%20grid:p436064:product,Ghost Kit: Weightless + Protect,$48.00 ,Limited Edition
